시군구,단지명,전용면적(㎡),층,거래금액(만원)
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,20,"30,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,21,"29,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,29,"33,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,29,"33,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,4,"29,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,8,"32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,12,"32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,16,"31,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,20,"32,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,5,"29,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,8,"33,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,23,"32,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,25,"35,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,10,"32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,16,"35,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,19,"32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,21,"31,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,5,"31,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,7,"32,100"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,7,"32,100"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,10,"32,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,10,"32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,1,"31,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,11,"29,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,19,"34,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,2,"30,200"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,29,"31,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,3,"30,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,4,"29,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,6,"34,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,7,"29,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,10,"32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,13,"32,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,13,"32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,17,"32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,17,"31,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,21,"30,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,23,"32,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,25,"33,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,26,"32,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,27,"32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,4,"27,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,5,"31,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,8,"34,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.0009,1,"34,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,11,"29,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,11,"41,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.7562,14,"35,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.0009,15,"36,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,15,"39,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,19,"41,300"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.7562,20,"36,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,2,"34,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,24,"31,600"
대구광역시 달성군 화원읍 구라리,대곡역래미안,100.7562,28,"36,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,11,"32,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,15,"30,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,2,"29,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,2,"29,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,29,"32,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,3,"31,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.2858,5,"30,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.463,6,"31,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,84.5958,9,"31,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,13,"32,400"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,6,"35,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,15,"39,700"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,16,"37,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,101.6927,6,"37,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,127.6786,13,"55,800"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,14,"50,000"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,20,"52,500"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,23,"46,900"
대구광역시 달성군 화원읍 구라리,대곡역래미안,130.7889,23,"46,900"
대구광역시 남구 봉덕동,래미안웰리스트,84.9388,1,"42,500"
대구광역시 남구 봉덕동,래미안웰리스트,84.9388,11,"45,000"
대구광역시 남구 봉덕동,래미안웰리스트,84.9396,18,"47,000"
대구광역시 남구 봉덕동,래미안웰리스트,144.499,22,"85,500"
대구광역시 남구 봉덕동,래미안웰리스트,144.499,9,"86,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,28,"98,000"
대구광역시 남구 봉덕동,래미안웰리스트,109.2566,12,"72,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,12,"95,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,13,"90,000"
대구광역시 남구 봉덕동,래미안웰리스트,165.8368,17,"90,000"
대구광역시 남구 봉덕동,래미안웰리스트,109.2566,5,"62,000"
대구광역시 수성구 범어동,래미안수성,126.0949,1,"87,000"
대구광역시 수성구 범어동,래미안수성,126.0949,14,"89,000"
대구광역시 수성구 범어동,래미안수성,126.0949,2,"78,000"
대구광역시 수성구 범어동,래미안수성,126.0949,7,"88,000"
대구광역시 수성구 범어동,래미안수성,101.8075,10,"71,500"
대구광역시 수성구 범어동,래미안수성,134.568,12,"81,000"
대구광역시 수성구 범어동,래미안수성,134.568,18,"85,000"
대구광역시 수성구 범어동,래미안수성,134.568,4,"82,000"
대구광역시 수성구 범어동,래미안수성,134.568,5,"73,000"
대구광역시 수성구 범어동,래미안수성,101.8075,7,"67,000"
대구광역시 수성구 범어동,래미안수성,134.568,3,"83,000"
대구광역시 수성구 범어동,래미안수성,134.568,6,"78,000"
대구광역시 수성구 범어동,래미안수성,134.568,14,"76,000"
대구광역시 수성구 범어동,래미안수성,101.9355,16,"73,000"
대구광역시 수성구 범어동,래미안수성,101.9355,17,"69,000"
대구광역시 수성구 범어동,래미안수성,101.9355,21,"69,000"
대구광역시 수성구 범어동,래미안수성,125.9433,9,"81,000"
대구광역시 수성구 범어동,래미안수성,126.0949,10,"85,000"
대구광역시 수성구 범어동,래미안수성,146.7191,6,"103,500"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,10,"35,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,12,"31,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,16,"34,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,9,"34,900"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,9,"36,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.96,2,"33,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.96,6,"32,750"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,8,"34,400"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,7,"32,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,101.64,1,"37,500"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,77.03,6,"32,500"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,101.64,15,"42,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,101.64,4,"39,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,101.64,9,"38,400"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,127.31,1,"44,800"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.95,1,"31,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,127.31,12,"56,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.96,12,"33,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,59.98,12,"29,500"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.96,11,"37,900"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.88,18,"32,400"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,84.96,6,"34,200"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,151.47,1,"60,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,59.98,17,"27,000"
대구광역시 달서구 성당동,성당래미안e-편한세상3단지,59.98,6,"25,200"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,59.98,15,"28,900"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,59.98,16,"28,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,59.98,4,"27,200"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,77.03,7,"33,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,59.98,7,"27,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,11,"36,250"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"33,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"35,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,77.03,13,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,77.03,14,"32,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,77.03,16,"33,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,77.03,16,"33,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,9,"37,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"33,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"33,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,14,"36,400"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,15,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,15,"32,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,5,"32,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.95,5,"32,300"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,11,"37,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,14,"37,300"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,15,"36,800"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,6,"36,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,1,"35,800"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,11,"34,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,11,"34,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,13,"31,800"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,18,"37,350"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,19,"31,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.95,2,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,7,"33,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,8,"36,600"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,8,"36,600"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,3,"50,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,9,"57,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,10,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,1,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"32,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"32,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,18,"55,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,3,"30,800"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,11,"44,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,12,"44,400"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,13,"45,200"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,5,"39,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,101.64,7,"45,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,10,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,10,"38,900"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,10,"37,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,127.31,1,"44,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,12,"32,700"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,12,"36,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.88,14,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.96,2,"36,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,84.95,6,"33,100"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,10,"58,400"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,11,"61,500"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,12,"60,000"
대구광역시 달서구 본리동,성당래미안e-편한세상1단지,151.47,3,"59,850"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,1,"27,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,13,"36,400"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,14,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,15,"38,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,3,"34,700"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,8,"31,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,15,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,2,"31,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,8,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,16,"36,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,7,"34,300"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"42,200"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,12,"35,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,14,"31,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,14,"32,800"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,15,"40,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,3,"40,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,3,"32,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,6,"34,850"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,7,"31,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,7,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,151.47,4,"60,300"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,16,"32,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,20,"30,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,6,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,9,"37,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,10,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"43,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"40,800"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,12,"41,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,1,"30,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,12,"36,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,16,"26,800"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,2,"33,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,9,"35,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,127.31,13,"56,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,127.31,16,"53,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,127.31,8,"49,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,13,"34,750"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,13,"30,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,4,"30,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,7,"41,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,8,"35,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,10,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,16,"32,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,6,"31,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.88,13,"37,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,17,"36,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,77.03,2,"28,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,5,"36,700"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,15,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,8,"35,900"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,13,"36,700"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.96,20,"37,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,2,"34,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,84.95,5,"34,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,7,"44,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,11,"46,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,6,"43,600"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,101.64,6,"45,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,10,"27,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,12,"28,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,17,"27,000"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,18,"28,300"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,18,"26,200"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,3,"25,500"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,10,"26,100"
대구광역시 달서구 본리동,성당래미안e-편한세상2단지,59.98,8,"27,500"
대구광역시 달서구 월성동,월성래미안,84.9724,13,"36,000"
대구광역시 달서구 월성동,월성래미안,84.9724,17,"36,900"
대구광역시 달서구 월성동,월성래미안,84.9724,20,"40,000"
대구광역시 달서구 월성동,월성래미안,84.9724,7,"37,000"
대구광역시 달서구 월성동,월성래미안,84.9724,13,"38,000"
대구광역시 달서구 월성동,월성래미안,84.9724,25,"33,000"
대구광역시 달서구 월성동,월성래미안,84.9724,8,"36,200"
대구광역시 달서구 월성동,월성래미안,84.9724,9,"37,300"
대구광역시 달서구 월성동,월성래미안,124.6477,17,"53,500"
대구광역시 달서구 월성동,월성래미안,124.6477,3,"59,000"
대구광역시 달서구 월성동,월성래미안,124.6477,8,"53,000"
대구광역시 달서구 월성동,월성래미안,84.9724,10,"38,000"
대구광역시 달서구 월성동,월성래미안,84.9724,11,"37,400"
대구광역시 달서구 월성동,월성래미안,84.9724,17,"39,000"
대구광역시 달서구 월성동,월성래미안,84.9724,17,"39,000"
대구광역시 달서구 월성동,월성래미안,84.9724,4,"38,800"
대구광역시 달서구 월성동,월성래미안,84.9724,5,"33,000"
대구광역시 달서구 월성동,월성래미안,84.9724,10,"38,100"
대구광역시 달서구 월성동,월성래미안,84.9724,20,"39,500"
대구광역시 달서구 월성동,월성래미안,84.9724,4,"35,500"
대구광역시 달서구 월성동,월성래미안,84.9724,4,"35,500"
대구광역시 달서구 월성동,월성래미안,84.9724,12,"36,000"
대구광역시 달서구 월성동,월성래미안,84.9724,12,"36,050"
대구광역시 달서구 월성동,월성래미안,84.9724,13,"38,000"
대구광역시 달서구 월성동,월성래미안,84.9724,14,"35,400"
대구광역시 달서구 월성동,월성래미안,84.9724,7,"37,000"
대구광역시 달서구 대곡동,삼성래미안1,84.95,11,"30,350"
대구광역시 달서구 대곡동,삼성래미안1,84.95,18,"32,300"
대구광역시 달서구 대곡동,삼성래미안1,84.95,14,"29,100"
대구광역시 달서구 대곡동,삼성래미안1,84.95,17,"31,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,2,"29,200"
대구광역시 달서구 대곡동,삼성래미안1,119.62,11,"35,500"
대구광역시 달서구 대곡동,삼성래미안1,119.62,14,"36,000"
대구광역시 달서구 대곡동,삼성래미안1,119.62,3,"34,450"
대구광역시 달서구 대곡동,삼성래미안1,84.95,10,"28,400"
대구광역시 달서구 대곡동,삼성래미안1,84.95,11,"28,800"
대구광역시 달서구 대곡동,삼성래미안1,59.86,12,"23,000"
대구광역시 달서구 대곡동,삼성래미안1,84.95,19,"27,500"
대구광역시 달서구 대곡동,삼성래미안1,59.86,2,"23,950"
대구광역시 달서구 대곡동,삼성래미안1,59.86,2,"20,700"
대구광역시 달서구 대곡동,삼성래미안1,84.95,8,"30,000"
대구광역시 달서구 대곡동,삼성래미안1,59.86,8,"23,600"
대구광역시 달서구 대곡동,삼성래미안1,84.95,15,"27,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,16,"27,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,4,"26,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,11,"25,500"
대구광역시 달서구 대곡동,삼성래미안1,84.95,12,"25,200"
대구광역시 달서구 대곡동,삼성래미안1,59.86,1,"18,450"
대구광역시 달서구 대곡동,삼성래미안1,59.86,12,"23,500"
대구광역시 달서구 대곡동,삼성래미안1,59.86,14,"21,000"
대구광역시 달서구 대곡동,삼성래미안1,59.86,17,"21,350"
대구광역시 달서구 대곡동,삼성래미안1,59.86,18,"22,600"
대구광역시 달서구 대곡동,삼성래미안1,59.86,19,"21,100"
대구광역시 달서구 대곡동,삼성래미안1,59.86,20,"19,000"
대구광역시 달서구 대곡동,삼성래미안1,59.86,7,"20,800"
대구광역시 달서구 대곡동,삼성래미안1,84.95,14,"28,200"
대구광역시 달서구 대곡동,삼성래미안1,84.95,8,"29,900"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,1,"20,000"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,1,"20,600"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,13,"21,500"
대구광역시 달서구 대곡동,삼성래미안2,59.6874,16,"22,800"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,10,"25,800"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,18,"26,900"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,7,"24,000"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,8,"25,500"
대구광역시 달서구 대곡동,삼성래미안2,122.3965,13,"37,500"
대구광역시 달서구 대곡동,삼성래미안2,122.3965,14,"33,500"
대구광역시 달서구 대곡동,삼성래미안2,84.8449,15,"28,500"
